Title	Status	Labels	Milestone	Assignees	Body
GuardDuty Export Script	Done	phase-2,security-compliance	Phase 2	@asimov	Export GuardDuty detectors, findings, threat intel sets, and IP sets. Includes 4 worksheets: Detectors, Findings, Threat Intel Sets, IP Sets. Multi-region support with deduplication.
AWS WAF Export Script	Done	phase-2,security-compliance	Phase 2	@asimov	Export WAF v2 web ACLs, rules, and IP sets. Supports both REGIONAL and CLOUDFRONT scopes. Includes 3 worksheets with statement type detection (ByteMatch, SQLi, XSS, RateBased, ManagedRuleGroup).
CloudTrail Export Script	Done	phase-2,security-compliance	Phase 2	@asimov	Export CloudTrail trails, event selectors, and insight selectors. Multi-region trail deduplication. Includes 3 worksheets with logging status, S3/CloudWatch integration, KMS encryption.
AWS Config Export Script	Done	phase-2,security-compliance	Phase 2	@asimov	Export Config recorders, delivery channels, config rules, and conformance packs. Includes compliance status tracking. 4 worksheets with resource compliance summaries.
Savings Plans Export Script	Done	phase-2,cost-management	Phase 2	@asimov	Export Savings Plans (Compute, EC2, SageMaker) with commitment details, payment options, and savings estimates. Includes 3 worksheets: Active Plans, Queued Plans, Summary. Decimal to float conversion for Excel.
AWS Budgets Export Script	Done	phase-2,cost-management	Phase 2	@asimov	Export AWS Budgets with alerts, thresholds, actual vs forecasted spend tracking. Includes budget types (Cost, Usage, RI, Savings Plans). 3 worksheets: Budgets, Notifications, Summary.
API Gateway Export Script	Done	phase-2,integration-messaging	Phase 2	@asimov	Export API Gateway REST APIs (v1), HTTP APIs (v2), and stages. Includes endpoint types, caching, logging, X-Ray tracing, throttling. 4 worksheets: REST APIs, HTTP APIs, API Stages, Summary.
EventBridge Export Script	Done	phase-2,integration-messaging	Phase 2	@asimov	Export EventBridge event buses, rules, and targets. Includes event patterns, schedule expressions, target types (Lambda, SQS, SNS, Kinesis, Step Functions). 4 worksheets: Event Buses, Event Rules, Rule Targets, Summary.
SQS/SNS Export Script	Done	phase-2,integration-messaging	Phase 2	@asimov	Export SQS queues and SNS topics with subscriptions. Includes Standard/FIFO types, encryption, DLQs, message counts, retention policies. 4 worksheets: SQS Queues, SNS Topics, SNS Subscriptions, Summary.
CloudWatch Export Script	Done	phase-2,monitoring-operations	Phase 2	@asimov	Export CloudWatch alarms (metric and composite) and log groups. Includes alarm states, thresholds, metric configurations, retention policies, KMS encryption. 3 worksheets: CloudWatch Alarms, Log Groups, Summary.
SSM Fleet Export Script	Done	phase-2,monitoring-operations	Phase 2	@asimov	Export Systems Manager Fleet managed instances, patch compliance, and parameters. Includes ping status, platform details, agent versions, patch groups, compliance status. 4 worksheets: Managed Instances, Patch Compliance, SSM Parameters, Summary.
Update Menu Structure	Done	phase-2,infrastructure	Phase 2	@asimov	Added Integration & Messaging menu (option 9) and Monitoring & Operations menu (option 10). Renumbered Output Management to option 11. All 5 Phase 2C/2D scripts integrated.
Phase 2 Documentation	Done	phase-2,documentation	Phase 2	@asimov	Updated MILESTONE_2025-11-07.md with Phase 2 completion details. All 11 scripts documented with technical implementation details and output formats.
